Entry	Status	Gene names	Organism
O75976	reviewed	CPD	Homo sapiens (Human)
Q8IWY9	reviewed	CDAN1 UNQ664/PRO1295	Homo sapiens (Human)
O43916	reviewed	CHST1	Homo sapiens (Human)
Q7LGC8	reviewed	CHST3	Homo sapiens (Human)
P06729	reviewed	CD2 SRBC	Homo sapiens (Human)
Q7L1S5	reviewed	CHST9 UNQ2549/PRO6175	Homo sapiens (Human)
Q8WWZ4	reviewed	ABCA10	Homo sapiens (Human)
Q8WU67	reviewed	ABHD3	Homo sapiens (Human)
P08173	reviewed	CHRM4	Homo sapiens (Human)
P28223	reviewed	HTR2A HTR2	Homo sapiens (Human)
P30939	reviewed	HTR1F HTR1EL	Homo sapiens (Human)
P02768	reviewed	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)
Q9BZ11	reviewed	ADAM33 C20orf153 UNQ873/PRO1891	Homo sapiens (Human)
Q8IZF3	reviewed	ADGRF4 GPR115 PGR18	Homo sapiens (Human)
Q9BY15	reviewed	ADGRE3 EMR3 UNQ683/PRO1562	Homo sapiens (Human)
P55087	reviewed	AQP4	Homo sapiens (Human)
Q32M45	reviewed	ANO4 TMEM16D	Homo sapiens (Human)
Q6ICH7	reviewed	ASPHD2	Homo sapiens (Human)
Q9Y284	reviewed	WDR83OS C19orf56 CGI-140 My006 PTD008	Homo sapiens (Human)
Q6UX41	reviewed	BTNL8 UNQ702/PRO1347	Homo sapiens (Human)
Q13948	reviewed	CUX1 CUTL1	Homo sapiens (Human)
Q8WTX7	reviewed	CASTOR1 GATSL3	Homo sapiens (Human)
Q5T5A4	reviewed	C1orf194	Homo sapiens (Human)
P22223	reviewed	CDH3 CDHP	Homo sapiens (Human)
Q8N8Q1	reviewed	CYB561D1	Homo sapiens (Human)
Q8TCZ2	reviewed	CD99L2 MIC2L1 UNQ1964/PRO4486	Homo sapiens (Human)
F5H4A9	reviewed	C3orf80	Homo sapiens (Human)
P78325	reviewed	ADAM8 MS2	Homo sapiens (Human)
P51828	reviewed	ADCY7 KIAA0037	Homo sapiens (Human)
Q96F25	reviewed	ALG14	Homo sapiens (Human)
Q53H12	reviewed	AGK MULK	Homo sapiens (Human)
Q9UM73	reviewed	ALK	Homo sapiens (Human)
P41181	reviewed	AQP2	Homo sapiens (Human)
Q53RT3	reviewed	ASPRV1 SASP	Homo sapiens (Human)
Q16853	reviewed	AOC3 VAP1	Homo sapiens (Human)
Q8WXF7	reviewed	ATL1 GBP3 SPG3A	Homo sapiens (Human)
P54710	reviewed	FXYD2 ATP1C ATP1G1	Homo sapiens (Human)
P35613	reviewed	BSG UNQ6505/PRO21383	Homo sapiens (Human)
Q9UPM9	reviewed	B9D1 MKSR1	Homo sapiens (Human)
P48751	reviewed	SLC4A3 AE3	Homo sapiens (Human)
O75752	reviewed	B3GALNT1 B3GALT3 UNQ531/PRO1074	Homo sapiens (Human)
Q9NW68	reviewed	BSDC1 UNQ2494/PRO5781	Homo sapiens (Human)
Q9UBN1	reviewed	CACNG4	Homo sapiens (Human)
Q9ULB4	reviewed	CDH9	Homo sapiens (Human)
O75871	reviewed	CEACAM4 CGM7	Homo sapiens (Human)
Q07001	reviewed	CHRND ACHRD	Homo sapiens (Human)
Q8IYS0	reviewed	GRAMD1C UNQ2543/PRO6095	Homo sapiens (Human)
Q16720	reviewed	ATP2B3	Homo sapiens (Human)
O43861	reviewed	ATP9B ATPIIB NEO1L HUSSY-20	Homo sapiens (Human)
P56378	reviewed	ATP5MPL C14orf2 MP68 PRO1574	Homo sapiens (Human)
Q3B7T3	reviewed	BEAN1	Homo sapiens (Human)
P50895	reviewed	BCAM LU MSK19	Homo sapiens (Human)
Q8NFU1	reviewed	BEST2 VMD2L1	Homo sapiens (Human)
Q7Z7M8	reviewed	B3GNT8 B3GALT7 BGALT15	Homo sapiens (Human)
Q96G97	reviewed	BSCL2	Homo sapiens (Human)
Q9Y2C3	reviewed	B3GALT5	Homo sapiens (Human)
O43497	reviewed	CACNA1G KIAA1123	Homo sapiens (Human)
Q9UJ99	reviewed	CDH22 C20orf25	Homo sapiens (Human)
Q8N126	reviewed	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	Homo sapiens (Human)
P47710	reviewed	CSN1S1 CASA CSN1	Homo sapiens (Human)
P54289	reviewed	CACNA2D1 CACNL2A CCHL2A MHS3	Homo sapiens (Human)
O00585	reviewed	CCL21 SCYA21 UNQ784/PRO1600	Homo sapiens (Human)
Q8N2K0	reviewed	ABHD12 C20orf22	Homo sapiens (Human)
O75969	reviewed	AKAP3 AKAP110 SOB1	Homo sapiens (Human)
P35414	reviewed	APLNR AGTRL1 APJ	Homo sapiens (Human)
O00203	reviewed	AP3B1 ADTB3A	Homo sapiens (Human)
Q8TF62	reviewed	ATP8B4 KIAA1939	Homo sapiens (Human)
Q9Y5Z6	reviewed	B3GALT1	Homo sapiens (Human)
Q6UWJ8	reviewed	CD164L2 UNQ6122/PRO20044	Homo sapiens (Human)
Q07817	reviewed	BCL2L1 BCL2L BCLX	Homo sapiens (Human)
Q9P1Z2	reviewed	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996	Homo sapiens (Human)
Q12864	reviewed	CDH17	Homo sapiens (Human)
Q9GZT6	reviewed	CCDC90B CUA003 MDS011 MDS025	Homo sapiens (Human)
P20963	reviewed	CD247 CD3Z T3Z TCRZ	Homo sapiens (Human)
P20138	reviewed	CD33 SIGLEC3	Homo sapiens (Human)
O43529	reviewed	CHST10	Homo sapiens (Human)
P32248	reviewed	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)
Q8TCG1	reviewed	CIP2A KIAA1524	Homo sapiens (Human)
Q9UNQ0	reviewed	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)
P17516	reviewed	AKR1C4 CHDR	Homo sapiens (Human)
P29274	reviewed	ADORA2A ADORA2	Homo sapiens (Human)
Q9BT22	reviewed	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870	Homo sapiens (Human)
Q9BT30	reviewed	ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564	Homo sapiens (Human)
Q96PS8	reviewed	AQP10	Homo sapiens (Human)
Q5FYA8	reviewed	ARSH	Homo sapiens (Human)
Q9HD20	reviewed	ATP13A1 ATP13A KIAA1825 CGI-152	Homo sapiens (Human)
O43505	reviewed	B4GAT1 B3GNT1 B3GNT6	Homo sapiens (Human)
P46379	reviewed	BAG6 BAT3 G3	Homo sapiens (Human)
O95180	reviewed	CACNA1H	Homo sapiens (Human)
P49069	reviewed	CAMLG CAML	Homo sapiens (Human)
Q9BXJ1	reviewed	C1QTNF1 CTRP1 UNQ310/PRO353	Homo sapiens (Human)
Q9ULX7	reviewed	CA14 UNQ690/PRO1335	Homo sapiens (Human)
O95782	reviewed	AP2A1 ADTAA CLAPA1	Homo sapiens (Human)
P06576	reviewed	ATP5F1B ATP5B ATPMB ATPSB	Homo sapiens (Human)
Q3ZCQ2	reviewed	ANXA2R AX2R C5orf39	Homo sapiens (Human)
P51164	reviewed	ATP4B	Homo sapiens (Human)
O75815	reviewed	BCAR3 NSP2 SH2D3B UNQ271/PRO308	Homo sapiens (Human)
Q9BWV1	reviewed	BOC UNQ604/PRO1190	Homo sapiens (Human)
P02730	reviewed	SLC4A1 AE1 DI EPB3	Homo sapiens (Human)
Q9C0J1	reviewed	B3GNT4 UNQ1898/PRO4344	Homo sapiens (Human)
Q8WXG9	reviewed	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	Homo sapiens (Human)
O14525	reviewed	ASTN1 ASTN KIAA0289	Homo sapiens (Human)
Q3KR37	reviewed	GRAMD1B KIAA1201 UNQ3032/PRO9834	Homo sapiens (Human)
O00478	reviewed	BTN3A3 BTF3	Homo sapiens (Human)
P23560	reviewed	BDNF	Homo sapiens (Human)
Q16611	reviewed	BAK1 BAK BCL2L7 CDN1	Homo sapiens (Human)
O95415	reviewed	BRI3	Homo sapiens (Human)
Q8WVQ1	reviewed	CANT1 SHAPY	Homo sapiens (Human)
Q96PB1	reviewed	CASD1 C7orf12 Nbla04196	Homo sapiens (Human)
Q9BXT2	reviewed	CACNG6	Homo sapiens (Human)
P32238	reviewed	CCKAR CCKRA	Homo sapiens (Human)
Q3MIR4	reviewed	TMEM30B CDC50B	Homo sapiens (Human)
Q9H9P2	reviewed	CHODL C21orf68 PRED12 UNQ872/PRO1890	Homo sapiens (Human)
A8MTT3	reviewed	CEBPZOS CEBPZ-AS1	Homo sapiens (Human)
P57105	reviewed	SYNJ2BP OMP25	Homo sapiens (Human)
Q86WS5	reviewed	TMPRSS12	Homo sapiens (Human)
Q9NYW3	reviewed	TAS2R7	Homo sapiens (Human)
A0A286YF58	reviewed	TMEM271	Homo sapiens (Human)
Q9BVT8	reviewed	TMUB1 C7orf21 DULP HOPS SB144 UNQ763/PRO1555	Homo sapiens (Human)
Q9BSN7	reviewed	TMEM204 C16orf30 CLP24 UNQ6509/PRO21434	Homo sapiens (Human)
Q8WUH6	reviewed	TMEM263 C12orf23	Homo sapiens (Human)
Q8IWB9	reviewed	TEX2 KIAA1738 TMEM96	Homo sapiens (Human)
Q5JRA6	reviewed	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	Homo sapiens (Human)
P07204	reviewed	THBD THRM	Homo sapiens (Human)
A0A0C4DH27	reviewed	TRGV8 TCRGV8	Homo sapiens (Human)
O94826	reviewed	TOMM70 KIAA0719 TOM70 TOMM70A	Homo sapiens (Human)
Q92956	reviewed	TNFRSF14 HVEA HVEM UNQ329/PRO509	Homo sapiens (Human)
O95857	reviewed	TSPAN13 NET6 TM4SF13 UNQ260/PRO296	Homo sapiens (Human)
Q9BZM5	reviewed	ULBP2 N2DL2 RAET1H UNQ463/PRO791	Homo sapiens (Human)
Q8TDU5	reviewed	VN1R17P VNRL4	Homo sapiens (Human)
Q6UXI7	reviewed	VIT UNQ647/PRO1277	Homo sapiens (Human)
Q9Y5K8	reviewed	ATP6V1D ATP6M VATD	Homo sapiens (Human)
Q99437	reviewed	ATP6V0B ATP6F	Homo sapiens (Human)
Q9Y279	reviewed	VSIG4 CRIg Z39IG UNQ317/PRO362	Homo sapiens (Human)
Q9GZT5	reviewed	WNT10A	Homo sapiens (Human)
Q86YA3	reviewed	ZGRF1 C4orf21	Homo sapiens (Human)
Q9ULC8	reviewed	ZDHHC8 KIAA1292 ZDHHCL1 ZNF378	Homo sapiens (Human)
Q13291	reviewed	SLAMF1 SLAM	Homo sapiens (Human)
A6NJY1	reviewed	SLC9B1P1	Homo sapiens (Human)
P0C672	reviewed	TSPAN19	Homo sapiens (Human)
O75385	reviewed	ULK1 KIAA0722	Homo sapiens (Human)
P22309	reviewed	UGT1A1 GNT1 UGT1	Homo sapiens (Human)
Q9UBH6	reviewed	XPR1 SYG1 XR	Homo sapiens (Human)
Q9UBV4	reviewed	WNT16	Homo sapiens (Human)
Q8IWU4	reviewed	SLC30A8 ZNT8	Homo sapiens (Human)
P60852	reviewed	ZP1	Homo sapiens (Human)
A0A0K0K1B3	reviewed	TRBV30	Homo sapiens (Human)
Q6UW78	reviewed	UQCC3 C11orf83 UNQ655/PRO1286	Homo sapiens (Human)
Q8NBZ7	reviewed	UXS1 UNQ2538/PRO6079	Homo sapiens (Human)
P55036	reviewed	PSMD4 MCB1	Homo sapiens (Human)
Q96CC6	reviewed	RHBDF1 C16orf8 DIST1 IRHOM1	Homo sapiens (Human)
O00237	reviewed	RNF103 ZFP103	Homo sapiens (Human)
Q8WVZ7	reviewed	RNF133	Homo sapiens (Human)
Q9Y225	reviewed	RNF24	Homo sapiens (Human)
P31639	reviewed	SLC5A2 SGLT2	Homo sapiens (Human)
Q9HAS3	reviewed	SLC28A3 CNT3	Homo sapiens (Human)
P18405	reviewed	SRD5A1	Homo sapiens (Human)
Q9Y6R1	reviewed	SLC4A4 NBC NBC1 NBCE1	Homo sapiens (Human)
Q96DW6	reviewed	SLC25A38	Homo sapiens (Human)
Q9HBR0	reviewed	SLC38A10 PP1744	Homo sapiens (Human)
Q9Y6M7	reviewed	SLC4A7 BT NBC2 NBC2B NBC3 NBCn1 SBC2 SLC4A6	Homo sapiens (Human)
Q9NWM0	reviewed	SMOX C20orf16 SMO UNQ3039/PRO9854	Homo sapiens (Human)
O60279	reviewed	SUSD5 KIAA0527	Homo sapiens (Human)
Q1AE95	reviewed	TMEM183B C1orf37-dup	Homo sapiens (Human)
Q8NH08	reviewed	OR10AC1 OR10AC1P	Homo sapiens (Human)
Q8NH49	reviewed	OR4X1	Homo sapiens (Human)
Q9NZP2	reviewed	OR6C2	Homo sapiens (Human)
Q8NHB7	reviewed	OR5K1	Homo sapiens (Human)
Q8NH83	reviewed	OR4A5	Homo sapiens (Human)
P58182	reviewed	OR12D2	Homo sapiens (Human)
Q8NGC7	reviewed	OR11H6	Homo sapiens (Human)
Q8NH69	reviewed	OR5W2 OR5W2P OR5W3P	Homo sapiens (Human)
Q8NG77	reviewed	OR2T12	Homo sapiens (Human)
Q8NHC7	reviewed	OR14C36 OR5BF1	Homo sapiens (Human)
Q8NGL2	reviewed	OR5L1	Homo sapiens (Human)
Q8NG76	reviewed	OR2T33	Homo sapiens (Human)
Q8NH61	reviewed	OR51F2	Homo sapiens (Human)
Q8NH09	reviewed	OR8S1	Homo sapiens (Human)
Q7RTM1	reviewed	OTOP1	Homo sapiens (Human)
P51582	reviewed	P2RY4 NRU	Homo sapiens (Human)
Q86UW2	reviewed	SLC51B OSTB	Homo sapiens (Human)
Q9Y619	reviewed	SLC25A15 ORC1 ORNT1 SP1855	Homo sapiens (Human)
Q9P1Q5	reviewed	OR1A1	Homo sapiens (Human)
Q6ZVX9	reviewed	PAQR9	Homo sapiens (Human)
Q5VY43	reviewed	PEAR1 MEGF12	Homo sapiens (Human)
Q8NEN9	reviewed	PDZD8 PDZK8	Homo sapiens (Human)
Q3KNS1	reviewed	PTCHD3 PTR	Homo sapiens (Human)
Q9UL46	reviewed	PSME2	Homo sapiens (Human)
P04843	reviewed	RPN1	Homo sapiens (Human)
P04844	reviewed	RPN2	Homo sapiens (Human)
Q13905	reviewed	RAPGEF1 GRF2	Homo sapiens (Human)
Q8TAA1	reviewed	RNASE11 C14orf6 UNQ5832/PRO19669	Homo sapiens (Human)
O43567	reviewed	RNF13 RZF	Homo sapiens (Human)
P62979	reviewed	RPS27A UBA80 UBCEP1	Homo sapiens (Human)
Q9H156	reviewed	SLITRK2 CXorf2 KIAA1854 SLITL1 UNQ9197/PRO34756	Homo sapiens (Human)
Q14940	reviewed	SLC9A5 NHE5	Homo sapiens (Human)
Q13530	reviewed	SERINC3 DIFF33 TDE1 SBBI99	Homo sapiens (Human)
Q9ULZ2	reviewed	STAP1 BRDG1	Homo sapiens (Human)
Q14849	reviewed	STARD3 CAB1 MLN64	Homo sapiens (Human)
Q8IXB3	reviewed	TRARG1 IFITMD3 LOST1 TUSC5	Homo sapiens (Human)
Q6XYQ8	reviewed	SYT10	Homo sapiens (Human)
P59551	reviewed	TAS2R60	Homo sapiens (Human)
Q71RG4	reviewed	TMUB2 FP2653 UNQ1897/PRO4343	Homo sapiens (Human)
Q9BTD3	reviewed	TMEM121 HHOLE	Homo sapiens (Human)
Q15256	reviewed	PTPRR ECPTP PTPRQ	Homo sapiens (Human)
Q9UNM6	reviewed	PSMD13	Homo sapiens (Human)
Q96D15	reviewed	RCN3 UNQ239/PRO272	Homo sapiens (Human)
Q6NUK4	reviewed	REEP3 C10orf74	Homo sapiens (Human)
P18577	reviewed	RHCE RHC RHE	Homo sapiens (Human)
Q8TEB9	reviewed	RHBDD1 RHBDL4 HSD-50 HSD50	Homo sapiens (Human)
P58872	reviewed	RHBDL3 RHBDL4 VRHO	Homo sapiens (Human)
Q9BRS2	reviewed	RIOK1 RIO1	Homo sapiens (Human)
Q9BYT1	reviewed	SLC17A9 C20orf59	Homo sapiens (Human)
Q70HW3	reviewed	SLC25A26 SAMC	Homo sapiens (Human)
P23975	reviewed	SLC6A2 NAT1 NET1 SLC6A5	Homo sapiens (Human)
Q504Y0	reviewed	SLC39A12 ZIP12	Homo sapiens (Human)
P60059	reviewed	SEC61G	Homo sapiens (Human)
P0C7Q5	reviewed	SLC35G4 AMAC1L1 SLC35G4P	Homo sapiens (Human)
Q76EJ3	reviewed	SLC35D2 HFRC UGTREL8	Homo sapiens (Human)
Q9NP91	reviewed	SLC6A20 SIT1 XT3 XTRP3	Homo sapiens (Human)
Q9Y286	reviewed	SIGLEC7 AIRM1	Homo sapiens (Human)
A0A1B0GVV1	reviewed	SMIM35 TMPRSS4-AS1	Homo sapiens (Human)
Q16585	reviewed	SGCB	Homo sapiens (Human)
Q16586	reviewed	SGCA ADL DAG2	Homo sapiens (Human)
Q5TF21	reviewed	SOGA3 C6orf174	Homo sapiens (Human)
P23327	reviewed	HRC HCP	Homo sapiens (Human)
P30825	reviewed	SLC7A1 ATRC1 ERR REC1L	Homo sapiens (Human)
Q9Y5Y6	reviewed	ST14 PRSS14 SNC19 TADG15	Homo sapiens (Human)
Q8TBG9	reviewed	SYNPR	Homo sapiens (Human)
Q9P0T7	reviewed	TMEM9 DERP4 TMEM9A HSPC186 PSEC0012 UNQ631/PRO1248	Homo sapiens (Human)
Q99595	reviewed	TIMM17A MIMT17 TIM17 TIM17A TIMM17	Homo sapiens (Human)
Q9NW97	reviewed	TMEM51 C1orf72	Homo sapiens (Human)
Q8WUU8	reviewed	TMEM174	Homo sapiens (Human)
Q86YD3	reviewed	TMEM25 UNQ2531/PRO6030	Homo sapiens (Human)
Q96B77	reviewed	TMEM186 C16orf51	Homo sapiens (Human)
Q3KNT9	reviewed	TMEM95 UNQ9390/PRO34281	Homo sapiens (Human)
Q5SV17	reviewed	TMEM240 C1orf70	Homo sapiens (Human)
Q96DA6	reviewed	DNAJC19 TIM14 TIMM14	Homo sapiens (Human)
Q5SWH9	reviewed	TMEM69 C1orf154 HSPC229	Homo sapiens (Human)
B4DJY2	reviewed	TMEM233 IFITMD2	Homo sapiens (Human)
Q6ZRR5	reviewed	TLCD5 TMEM136	Homo sapiens (Human)
A0A087WTH1	reviewed	TMEM265	Homo sapiens (Human)
Q8N6K0	reviewed	TEX29 C13orf16	Homo sapiens (Human)
Q71RH2	reviewed	TLCD3B FAM57B FP1188	Homo sapiens (Human)
A0A0A0MT87	reviewed	TRBJ2-4	Homo sapiens (Human)
O60507	reviewed	TPST1	Homo sapiens (Human)
Q9NP84	reviewed	TNFRSF12A FN14	Homo sapiens (Human)
Q96ET8	reviewed	TVP23C FAM18B2 Nbla10383	Homo sapiens (Human)
Q14997	reviewed	PSME4 KIAA0077	Homo sapiens (Human)
Q13882	reviewed	PTK6 BRK	Homo sapiens (Human)
O75192	reviewed	PEX11A PEX11	Homo sapiens (Human)
P01112	reviewed	HRAS HRAS1	Homo sapiens (Human)
P21453	reviewed	S1PR1 CHEDG1 EDG1	Homo sapiens (Human)
Q92504	reviewed	SLC39A7 HKE4 RING5	Homo sapiens (Human)
O00337	reviewed	SLC28A1 CNT1	Homo sapiens (Human)
O76082	reviewed	SLC22A5 OCTN2	Homo sapiens (Human)
Q8N755	reviewed	SLC66A3 C2orf22 PQLC3	Homo sapiens (Human)
Q8N413	reviewed	SLC25A45	Homo sapiens (Human)
Q2Y0W8	reviewed	SLC4A8 KIAA0739 NBC NBC3 NDCBE1	Homo sapiens (Human)
Q9Y6D0	reviewed	SELENOK SELK HSPC030 HSPC297	Homo sapiens (Human)
Q9BWM7	reviewed	SFXN3	Homo sapiens (Human)
Q9UQQ2	reviewed	SH2B3 LNK	Homo sapiens (Human)
Q9UQD0	reviewed	SCN8A MED	Homo sapiens (Human)
Q9UPU3	reviewed	SORCS3 KIAA1059	Homo sapiens (Human)
Q8NFT2	reviewed	STEAP2 PCANAP1 STAMP1 UNQ6507/PRO23203	Homo sapiens (Human)
Q8N205	reviewed	SYNE4 C19orf46	Homo sapiens (Human)
Q9BVX2	reviewed	TMEM106C EMOC	Homo sapiens (Human)
Q5T4T1	reviewed	TMEM170B	Homo sapiens (Human)
Q9H0A3	reviewed	TMEM191A	Homo sapiens (Human)
Q96RJ0	reviewed	TAAR1 TA1 TAR1 TRAR1	Homo sapiens (Human)
Q9NVV0	reviewed	TMEM38B C9orf87	Homo sapiens (Human)
A6NML5	reviewed	TMEM212	Homo sapiens (Human)
P10586	reviewed	PTPRF LAR	Homo sapiens (Human)
O75832	reviewed	PSMD10	Homo sapiens (Human)
Q04671	reviewed	OCA2 D15S12 P	Homo sapiens (Human)
Q9Y6I8	reviewed	PXMP4 PMP24	Homo sapiens (Human)
Q8IUW5	reviewed	RELL1 PSEC0162	Homo sapiens (Human)
Q9BRK0	reviewed	REEP2 C5orf19 SGC32445	Homo sapiens (Human)
Q9ULK6	reviewed	RNF150 KIAA1214	Homo sapiens (Human)
Q15005	reviewed	SPCS2 KIAA0102 SPC25	Homo sapiens (Human)
Q9NQ25	reviewed	SLAMF7 CS1 UNQ576/PRO1138	Homo sapiens (Human)
Q9BZZ2	reviewed	SIGLEC1 SN	Homo sapiens (Human)
Q96A28	reviewed	SLAMF9 CD2F10 UNQ1938/PRO4421	Homo sapiens (Human)
Q8IVW8	reviewed	SPNS2	Homo sapiens (Human)
Q5VXT5	reviewed	SYPL2	Homo sapiens (Human)
P59538	reviewed	TAS2R31 TAS2R44	Homo sapiens (Human)
P0DTE0	reviewed	TAS2R36	Homo sapiens (Human)
Q7RTY8	reviewed	TMPRSS7	Homo sapiens (Human)
P50591	reviewed	TNFSF10 APO2L TRAIL	Homo sapiens (Human)
Q9H0V1	reviewed	TMEM168	Homo sapiens (Human)
Q6UXP3	reviewed	TMEM14EP TMEM14E UNQ9344/PRO34067	Homo sapiens (Human)
Q24JQ0	reviewed	TMEM241 C18orf45	Homo sapiens (Human)
