Uniprot_ID,Gene_ID,THSA,RHSA,LHPSA,length,Gene,Tissue,NX,Median_NX,rows,Expression
A8MTL3,RNF212B,7416.134036439656,0.2774190155570049,1656.4306363857788,300,ENSG00000215277,kidney,24.3,0.0,40,A
P0C264,SBK3,4421.320457634327,0.22709517168803625,1015.9811433131842,359,ENSG00000231274,heart muscle,24.2,0.0,41,A
Q9BX51,GGTLC1,3559.2586315214617,0.32519978003994016,1889.931313072292,225,ENSG00000149435,lung,24.2,0.0,42,A
P0DJR0,GIMD1,2888.74654675126,0.24642891584659585,1049.8663430692566,217,ENSG00000250298,small intestine,24.0,0.0,43,A
P43366,MAGEB1,6284.3388232499365,0.2337087140718937,1247.199980222698,347,ENSG00000214107,testis,23.9,0.0,44,A
Q6A555,TXNDC8,2223.2698610693215,0.28689621011198896,1112.135810938609,127,ENSG00000204193,testis,23.9,0.0,45,A
P12018,VPREB1,3315.04571325183,0.31031601768905204,1577.2088451130282,145,ENSG00000169575,bone marrow,23.8,0.0,46,A
Q6ZNM6,TEX43,3641.7785931617027,0.32994886298665344,1889.931313072292,134,ENSG00000196900,testis,23.8,0.0,47,A
Q5T7R7,C1orf185,4778.89087123573,0.3252234802124772,1889.931313072292,199,ENSG00000204006,testis,23.8,0.0,48,A
Q9BYQ4,KRTAP9-2,3807.6306973040096,0.32855734022072225,1889.931313072292,174,ENSG00000239886,skin,23.6,0.0,49,A
Q8WW27,APOBEC4,4883.318503522874,0.2450758280638489,1247.199980222698,367,ENSG00000173627,testis,23.6,0.0,50,A
Q9H568,ACTL8,4561.810482078793,0.2622525742188499,1247.199980222698,366,ENSG00000117148,testis,23.6,0.0,51,A
Q3LI72,KRTAP19-5,3161.0478555917744,0.5909014173602959,1925.292207792208,72,ENSG00000186977,skin,23.5,0.0,52,A
P43358,MAGEA4,6299.508823078871,0.273723244343634,1656.4306363857788,317,ENSG00000147381,testis,23.5,0.0,53,A
A6NFZ4,FAM24A,4767.021037945152,0.4923247126135745,4732.5216666666665,105,ENSG00000203795,testis,20.9,0.0,54,A
Q8WWY6,MBD3L1,4822.177350938319,0.29009443219192066,1719.856273640681,194,ENSG00000170948,testis,20.8,0.0,55,A
Q9P2V4,LRIT1,11155.684791597727,0.31720569556896794,2471.49808592804,623,ENSG00000148602,retina,20.7,0.0,56,A
P35225,IL13,4102.189560091494,0.40483085863246665,3520.9657142857145,146,ENSG00000169194,testis,20.7,0.0,57,A
Q96SF2,CCT8L2,7199.006513336309,0.2608669019661269,1247.199980222698,557,ENSG00000198445,testis,18.6,0.0,58,A
Q6ZWK6,TMPRSS11F,6871.9894185215235,0.2871893795526405,1719.856273640681,438,ENSG00000198092,esophagus,18.3,0.0,59,A
O76015,KRT38,9163.681946098808,0.2910710311991703,2301.423046496429,456,ENSG00000171360,skin,18.3,0.0,60,A
Q30KQ1,DEFB133,3271.9453173458587,0.5495562806157038,2929.1309523809527,61,ENSG00000214643,epididymis,18.2,0.0,61,A
A8MPY1,GABRR3,10675.756700500842,0.3996521614353376,5802.641233616372,467,ENSG00000183185,retina,18.2,0.0,62,A
Q3SY17,SLC25A52,7446.469147771599,0.4237030589220784,5806.09276057276,297,ENSG00000141437,testis,18.2,0.0,63,A
Q9BYR3,KRTAP4-4,3926.8204858124254,0.3416526615060865,2139.9918975636656,166,ENSG00000171396,skin,18.1,0.0,64,A
E9PQX1,TMEM262,5635.1550767004455,0.5999183207925899,4732.5216666666665,116,ENSG00000187066,testis,18.1,0.0,65,A
Q14532,KRT32,9204.534540712832,0.30179068112087226,2301.423046496429,448,ENSG00000108759,skin,18.0,0.0,66,A
P60014,KRTAP10-10,5121.040817955136,0.3383684781352104,2139.9918975636656,251,ENSG00000221859,skin,18.0,0.0,67,A
P48165,GJA8,12538.543913808468,0.34429513451067834,3133.5486704194145,433,ENSG00000121634,testis,18.0,0.0,68,A
Q96LI6,HSFY1,10018.016040608283,0.3209699840786284,2471.49808592804,401,ENSG00000172468,testis,17.8,0.0,69,A
Q9UHD0,IL19,3505.9339364051802,0.3069127164260739,1719.856273640681,177,ENSG00000142224,"cervix, uterine",17.8,0.0,70,A
Q86Y46,KRT73,12834.6295635283,0.3146986307658862,2471.49808592804,540,ENSG00000186049,skin,17.7,0.0,71,A
Q5H9I0,TFDP3,6988.032780662179,0.2519871111032765,1247.199980222698,405,ENSG00000183434,testis,17.7,0.0,72,A
Q6UY18,LINGO4,9103.066289359327,0.3018025086982512,2301.423046496429,593,ENSG00000213171,skeletal muscle,17.7,0.0,73,A
Q8IUB9,KRTAP19-1,3362.0150852680213,0.5733081995664113,2929.1309523809527,90,ENSG00000184351,skin,17.6,0.0,74,A
Q17RQ9,NKPD1,10250.046216833587,0.2901621178493507,2301.423046496429,610,ENSG00000179846,skin,17.5,0.0,75,A
A0A1B0GTY4,TEX50,5583.433317163586,0.387712001153784,3574.4356756568372,177,ENSG00000232113,testis,17.5,0.0,76,A
Q8NEG5,ZSWIM2,9748.477325484151,0.23978030365230146,1247.199980222698,633,ENSG00000163012,testis,17.4,0.0,77,A
A0A1B0GV03,GOLGA6L7,8542.343501606581,0.1655909421247149,882.6186463269493,622,ENSG00000261649,testis,17.3,0.0,78,A
Q8WX39,LCN9,3425.4253392577175,0.3113087705337879,1719.856273640681,176,ENSG00000148386,ductus deferens,17.2,0.0,79,A
Q8IYV9,IZUMO1,7802.893537303804,0.3275033058990901,1950.296668158664,350,ENSG00000182264,testis,17.2,0.0,80,A
P08173,CHRM4,11910.730374011397,0.3974313919465777,5802.641233616372,479,ENSG00000180720,spleen,17.2,0.0,81,A
Q14409,GK3P,6105.010601088405,0.27381922096153416,1656.4306363857788,553,ENSG00000229894,testis,17.0,0.0,82,A
A6NM36,LRRC30,4023.794426000119,0.2405380848029651,1247.199980222698,301,ENSG00000206422,skeletal muscle,18.7,0.0,83,A
Q9BY21,GPR87,9831.37903513312,0.4511026194674409,6773.703427960926,358,ENSG00000138271,esophagus,24.8,0.0,84,A
Q8NA70,FAM47B,10311.230772960183,0.21161340062458409,923.1733601705887,645,ENSG00000189132,testis,18.8,0.0,85,A
Q2M2D7,TBC1D28,3615.653025469184,0.27933961996962864,1656.4306363857788,210,ENSG00000189375,testis,19.0,0.0,86,A
Q9BYQ9,KRTAP4-8,4257.193410637976,0.3606638752211449,2487.7519050599176,185,ENSG00000204880,skin,20.7,0.0,87,A
O15480,MAGEB3,6783.4989096581885,0.2559395030841502,1247.199980222698,346,ENSG00000198798,epididymis,20.5,0.0,88,A
P0DP72,VSIG10L2,11571.134752631204,0.282564996259186,2237.9974092415273,767,ENSG00000283703,skin,20.4,0.0,89,A
P59990,KRTAP12-1,2791.121157339215,0.4036386274297061,1966.8563446969697,96,ENSG00000187175,skin,20.4,0.0,90,A
Q70EL3,USP50,5061.943332657218,0.2770091147224986,1656.4306363857788,339,ENSG00000170236,testis,20.2,0.0,91,A
A0A1B0GTD5,TEX49,3011.958740356564,0.2886507309525046,1389.9900316545868,131,ENSG00000257987,testis,20.1,0.0,92,A
Q9BYR5,KRTAP4-2,3355.897357994317,0.3470897428245468,1997.3444690360132,136,ENSG00000244537,skin,20.1,0.0,93,A
A0A1W2PR19,GSTT4,3752.799324268103,0.2885200131900991,1719.856273640681,241,ENSG00000276950,testis,20.0,0.0,94,A
O75364,PITX3,8720.540181162956,0.35398672254631103,3236.0372601462896,302,ENSG00000107859,skeletal muscle,19.9,0.0,95,A
Q0VAA2,LRRC74A,6630.827946168187,0.25734201025828257,1247.199980222698,488,ENSG00000100565,testis,19.8,0.0,96,A
P59991,KRTAP12-2,3280.305267456173,0.3847939042203886,2904.808294704457,146,ENSG00000221864,skin,19.8,0.0,97,A
C9J1S8,TRIM49D1,7324.920811581614,0.27230029461834165,1656.4306363857788,452,ENSG00000223417,granulocytes,19.8,0.0,98,A
Q52LG2,KRTAP13-2,3530.931685125828,0.3481810089771908,2139.9918975636656,175,ENSG00000182816,tongue,19.7,0.0,99,A
B6SEH8,ERVV-1,9009.100134176015,0.3417807288160541,3133.5486704194145,477,ENSG00000269526,placenta,19.7,0.0,100,A
P38567,SPAM1,8271.309827485678,0.3276217248010314,1950.296668158664,509,ENSG00000106304,testis,19.6,0.0,101,A
Q9BZM2,PLA2G2F,3755.9231007367357,0.3333319528038949,2061.227122788891,168,ENSG00000158786,urinary bladder,19.5,0.0,102,A
P0C7H8,KRTAP2-3,3062.135151347518,0.3248066149433189,1491.997157857123,128,ENSG00000212724,skin,19.5,0.0,103,A
Q96LB8,PGLYRP4,4908.1708810716855,0.2836522919864933,1656.4306363857788,373,ENSG00000163218,skin,19.5,0.0,104,A
Q3KNT9,TMEM95,4727.233040457964,0.3951605569377272,3747.7940089901695,176,ENSG00000182896,testis,19.3,0.0,105,A
Q6PXP3,SLC2A7,11406.747200384738,0.4690421235595706,6773.703427960926,512,ENSG00000197241,small intestine,19.3,0.0,106,A
Q13117,DAZ2,8783.799448958041,0.3113847652702408,1780.221628727053,558,ENSG00000205944,stomach,19.3,0.0,107,A
C9JR72,KBTBD13,5916.90592136085,0.29456167425192564,1719.856273640681,458,ENSG00000234438,skeletal muscle,19.2,0.0,108,A
A8MYZ5,IQCF6,4757.6453585833315,0.467964076072297,4732.5216666666665,107,ENSG00000214686,testis,19.2,0.0,109,A
Q9NRE1,MMP26,3704.982871451973,0.2728642260112664,1656.4306363857788,261,ENSG00000167346,endometrium,19.1,0.0,110,A
Q96D59,RNF183,4805.718002933263,0.3612547941035541,2487.7519050599176,192,ENSG00000165188,epididymis,19.0,0.0,111,A
Q8IUC0,KRTAP13-1,3740.748078504204,0.3663232654990529,2347.4661907742034,172,ENSG00000198390,tongue,18.9,0.0,112,A
Q99453,PHOX2B,8796.694203713534,0.338323599097854,2200.357252650038,314,ENSG00000109132,pons and medulla,24.8,0.0,113,A
Q9NP55,BPIFA1,5467.7048309803,0.3720281245263928,2487.7519050599176,256,ENSG00000198183,tonsil,25.2,0.0,114,A
P04808,RLN1,4367.717337459327,0.33565428336043795,2139.9918975636656,185,ENSG00000107018,prostate,25.4,0.0,115,A
Q8NEG0,FAM71C,5997.217215052247,0.3755591129768664,2899.9084119092327,241,ENSG00000180219,testis,31.7,0.0,116,A
Q8N715,CCDC185,8349.903408339622,0.1772207429757135,882.6186463269493,623,ENSG00000178395,testis,31.6,0.0,117,A
Q9Y2Y8,PRG3,5459.268940147758,0.3399855548291297,2139.9918975636656,225,ENSG00000156575,bone marrow,31.6,0.0,118,A
Q5W0N0,C9orf57,4989.023106074331,0.42757047492088224,4194.045714285714,161,ENSG00000204669,testis,31.4,0.0,119,A
Q5VY80,RAET1L,6289.213405856488,0.4057685357736813,5536.8406238206235,246,ENSG00000155918,esophagus,31.4,0.0,120,A
Q6Q8B3,CD200R1L,6756.92328079343,0.3576654060803059,2664.451905059917,271,ENSG00000206531,granulocytes,31.3,0.0,121,A
P0C5K7,CT62,2506.1901941597466,0.2566927027826311,862.4763812734966,136,ENSG00000225362,testis,31.2,0.0,122,A
P57082,TBX4,10677.341724020243,0.28783665545176673,2301.423046496429,545,ENSG00000121075,lung,31.1,0.0,123,A
O95843,GUCA1C,3983.2935696870068,0.28526817937319704,1719.856273640681,209,ENSG00000138472,pancreas,31.0,0.0,124,A
Q9BYR0,KRTAP4-7,4957.877825137973,0.35186819913185896,2281.784754706523,210,ENSG00000240871,skin,30.9,0.0,125,A
Q8TAQ9,SUN3,6205.944675135615,0.2870951841380429,1719.856273640681,357,ENSG00000164744,testis,30.9,0.0,126,A
P31213,SRD5A2,7231.689530435204,0.5256398337660261,5792.624170829171,254,ENSG00000277893,liver,30.9,0.0,127,A
Q30KP9,DEFB135,2898.6820388138285,0.4487977867691051,2074.5563446969695,77,ENSG00000205883,epididymis,30.8,0.0,128,A
Q8IZF3,ADGRF4,14067.307343596223,0.35867632643903685,3757.2386779156673,695,ENSG00000153294,skin,30.7,0.0,129,A
Q16696,CYP2A13,5868.2390504539035,0.2511639707466308,1247.199980222698,494,ENSG00000197838,liver,30.7,0.0,130,A
A2RTY3,HEATR9,6925.127463123198,0.2197456104079833,985.4477567000637,570,ENSG00000270379,testis,30.7,0.0,131,A
Q13351,KLF1,5862.503206238153,0.2600101816021734,1247.199980222698,362,ENSG00000105610,bone marrow,30.6,0.0,132,A
Q8WTQ4,C16orf78,5306.979922464489,0.2369048595745718,1247.199980222698,265,ENSG00000166152,testis,30.6,0.0,133,A
Q9UJQ7,SCP2D1,2893.1780336320403,0.29662310891211496,1457.4130348785516,156,ENSG00000132631,testis,30.5,0.0,134,A
Q9BYT5,KRTAP2-2,2643.737535187602,0.3148911627779392,1398.2458347985016,123,ENSG00000214518,skin,30.4,0.0,135,A
Q8NHP7,EXD1,7727.029747509951,0.24997469917246826,1247.199980222698,514,ENSG00000178997,testis,30.2,0.0,136,A
Q6P047,C8orf74,6288.673517358303,0.2958387081147373,1719.856273640681,294,ENSG00000171060,testis,30.2,0.0,137,A
Q5VYY2,LIPM,6490.810624948143,0.3190803141369307,1889.931313072292,423,ENSG00000173239,skin,30.1,0.0,138,A
Q9UKF2,ADAM30,13419.459379830945,0.2802866962308868,2237.9974092415273,790,ENSG00000134249,testis,30.0,0.0,139,A
Q8IV76,PASD1,16434.939980599287,0.2766279395041289,2237.9974092415273,773,ENSG00000166049,testis,30.0,0.0,140,A
Q8TCU3,SLC7A13,12274.955921345958,0.5360876367389864,6773.703427960926,470,ENSG00000164893,kidney,31.7,0.0,141,A
Q8IZT9,FAM9C,4212.262777587772,0.2422533751995997,1247.199980222698,166,ENSG00000187268,spleen,29.8,0.0,142,A
Q01718,MC2R,8507.149125644564,0.527204961965103,6383.191285103785,297,ENSG00000185231,adrenal gland,31.7,0.0,143,A
Q9UBF1,MAGEC2,8229.73808270395,0.2921980378167548,1780.221628727053,373,ENSG00000046774,testis,31.8,0.0,144,A
Q8WW32,HMGB4,3542.9275960415594,0.2390952744593073,1247.199980222698,186,ENSG00000176256,testis,34.6,0.0,145,A
Q8TBY0,RBM46,6744.613083902,0.2385301823771898,1247.199980222698,533,ENSG00000151962,testis,34.5,0.0,146,A
A0A140G945,CRYAA2,3833.948829761148,0.29697687372929,1719.856273640681,173,ENSG00000276076,kidney,34.4,0.0,147,A
Q7Z4W2,LYZL2,3035.4869419872753,0.3287520998480128,1491.997157857123,148,ENSG00000151033,testis,34.2,0.0,148,A
A6NMA1,TRPC5OS,4492.653216147423,0.3979738178800099,3747.7940089901695,111,ENSG00000204025,testis,34.2,0.0,149,A
Q30KQ7,DEFB113,3124.7183700114483,0.4074057691389079,2000.3896780303035,82,ENSG00000214642,epididymis,34.1,0.0,150,A
A6NG13,MGAT4D,6335.465374541278,0.2963958151342009,1719.856273640681,374,ENSG00000205301,testis,33.8,0.0,151,A
P31639,SLC5A2,16570.078810530908,0.49436188550113297,6773.703427960926,672,ENSG00000140675,kidney,33.7,0.0,152,A
Q496A3,SPATS1,6909.288394570352,0.28412220217722906,1656.4306363857788,300,ENSG00000249481,testis,33.5,0.0,153,A
P0C7L1,SPINK8,3780.820344430209,0.4639698690325084,3248.523333333333,97,ENSG00000229453,breast,33.5,0.0,154,A
Q96LB4,ATP6V1G3,2858.683131089806,0.27282949933200823,1389.9900316545868,118,ENSG00000151418,kidney,33.4,0.0,155,A
Q8WXJ9,ASB17,4516.72111633122,0.2820858071876091,1656.4306363857788,295,ENSG00000154007,testis,33.3,0.0,156,A
O75951,LYZL6,3903.339652347566,0.4093615086995058,3520.9657142857145,148,ENSG00000275722,testis,33.2,0.0,157,A
Q8IUC2,KRTAP8-1,2716.609708112478,0.6173524840093979,1977.9922077922079,63,ENSG00000183640,skin,33.2,0.0,158,A
Q5T870,PRR9,1983.7009419649842,0.2081156630897888,747.1331249827821,116,ENSG00000203783,skin,33.1,0.0,159,A
O75344,FKBP6,5626.15134138465,0.2933873294982476,1719.856273640681,327,ENSG00000077800,testis,33.0,0.0,160,A
Q9NRJ5,PAPOLB,8749.283287873863,0.25458064574172506,1247.199980222698,636,ENSG00000218823,testis,33.0,0.0,161,A
Q6UXV1,IZUMO2,5891.131930264829,0.4108784761144028,5035.365371295371,221,ENSG00000161652,testis,33.0,0.0,162,A
Q86XM0,CATSPERD,13172.254520764956,0.3246300408097492,2471.49808592804,798,ENSG00000174898,testis,32.8,0.0,163,A
A5LHX3,PSMB11,5187.386457544567,0.28769385004860154,1719.856273640681,300,ENSG00000222028,thymus,32.7,0.0,164,A
P0DJH9,RD3L,4847.809786206482,0.2906566373036211,1719.856273640681,198,ENSG00000227729,heart muscle,32.6,0.0,165,A
Q8IVM8,SLC22A9,12365.060107433794,0.4394398393672908,6773.703427960926,553,ENSG00000149742,liver,32.2,0.0,166,A
Q96P15,SERPINB11,3584.4320877045398,0.1952986962060817,882.6186463269493,392,ENSG00000206072,tongue,32.1,0.0,167,A
Q8N7C0,LRRC52,7148.2133639693275,0.3718614775758229,2664.451905059917,313,ENSG00000162763,testis,31.9,0.0,168,A
O60676,CST8,3645.5773784846056,0.3526988346821871,2347.4661907742034,142,ENSG00000125815,testis,31.8,0.0,169,A
Q5VVX9,UBE2U,4147.497887110711,0.22368904356241692,1015.9811433131842,321,ENSG00000177414,testis,31.8,0.0,170,A
Q8IXS0,FAM217A,7554.387658277157,0.22158633827719235,1015.9811433131842,508,ENSG00000145975,testis,16.9,0.0,171,A
Q9BQN1,FAM83C,10182.793226692083,0.22249143640075428,1015.9811433131842,747,ENSG00000125998,skin,29.7,0.0,172,A
Q9H853,TUBA4B,4037.5955526292328,0.2829102016207299,1656.4306363857788,241,ENSG00000243910,fallopian tube,29.7,0.0,173,A
Q13410,BTN1A1,8752.424465844035,0.27905950891111675,1716.7959914721512,526,ENSG00000124557,breast,27.4,0.0,174,A
Q9BYR9,KRTAP2-4,3062.135151347518,0.3248066149433189,1491.997157857123,128,ENSG00000213417,skin,27.4,0.0,175,A
A0A1B0GTQ4,MYMX,3146.082558634879,0.39574468075010094,2398.998687020473,84,ENSG00000262179,adipose tissue,27.4,0.0,176,A
P22612,PRKACG,4220.764538550377,0.2392165635795359,1247.199980222698,351,ENSG00000165059,testis,27.4,0.0,177,A
Q9UK05,GDF2,6976.292625591159,0.2559985257450177,1247.199980222698,429,ENSG00000263761,liver,27.3,0.0,178,A
Q8WW36,ZCCHC13,2594.796236625313,0.22185767692277414,853.9134492235214,166,ENSG00000187969,testis,27.3,0.0,179,A
Q8IYP2,PRSS58,4078.1789823323493,0.3407784983188063,2139.9918975636656,241,ENSG00000258223,testis,27.2,0.0,180,A
Q5VXJ0,LIPK,5986.9776237756005,0.3191786848092439,1889.931313072292,399,ENSG00000204021,skin,27.1,0.0,181,A
B1ATL7,PRR32,5383.934177201989,0.2745253211930658,1656.4306363857788,298,ENSG00000183631,tongue,26.7,0.0,182,A
A2VCK2,DCDC2B,6450.443026906252,0.2589713578881564,1247.199980222698,349,ENSG00000222046,fallopian tube,26.6,0.0,183,A
Q8NA75,DCAF4L2,5169.9120417147915,0.28565118919945937,1719.856273640681,395,ENSG00000176566,testis,26.6,0.0,184,A
Q86WS4,C12orf40,10628.058456996076,0.2317826305784349,1099.636679319052,652,ENSG00000180116,testis,26.4,0.0,185,A
Q5T5S1,CCDC183,9751.379836177823,0.2625452746616909,1247.199980222698,534,ENSG00000213213,testis,26.4,0.0,186,A
O15481,MAGEB4,6352.65684683919,0.2275224733874576,1015.9811433131842,346,ENSG00000120289,epididymis,26.3,0.0,187,A
Q9UN76,SLC6A14,15374.965067699555,0.4689138548253426,6773.703427960926,642,ENSG00000268104,salivary gland,26.3,0.0,188,A
A0A1B0GUA5,SMIM32,5138.96157821715,0.5168469814155959,4732.5216666666665,103,ENSG00000271824,kidney,26.2,0.0,189,A
Q8TBZ9,TEX47,5417.4619487881655,0.3224485120911028,1889.931313072292,253,ENSG00000164645,testis,26.2,0.0,190,A
Q8NA47,CCDC63,10442.167096766827,0.2564686618425153,1247.199980222698,563,ENSG00000173093,testis,26.2,0.0,191,A
Q6P093,AADACL2,5651.04536458254,0.3099689759286304,1719.856273640681,401,ENSG00000197953,skin,26.1,0.0,192,A
P0DKB6,MPC1L,4678.1508191436515,0.4370404439542577,4194.045714285714,136,ENSG00000238205,testis,26.1,0.0,193,A
Q8NCU1,CCDC197,3641.4575906693926,0.2875286841562777,1719.856273640681,143,ENSG00000175699,testis,25.7,0.0,194,A
Q5SQS8,C10orf120,5951.4332879662525,0.247511333517914,1247.199980222698,335,ENSG00000183559,testis,25.6,0.0,195,A
Q9Y458,TBX22,8022.446751889585,0.2392538521520299,1247.199980222698,520,ENSG00000122145,testis,25.6,0.0,196,A
Q6UWB4,PRSS55,6210.364204409718,0.30757685282532543,1719.856273640681,352,ENSG00000184647,testis,25.5,0.0,197,A
Q5VXI9,LIPN,6040.0810611248,0.3325204863577504,2061.227122788891,398,ENSG00000204020,skin,25.5,0.0,198,A
Q7Z4U5,C6orf201,2148.533975458145,0.1945853383727129,599.1853833605564,140,ENSG00000185689,testis,27.6,0.0,199,A
Q5JW98,CALHM4,8567.498480191825,0.4387777229772705,6729.203427960926,314,ENSG00000164451,placenta,29.7,0.0,200,A
Q8IWF9,CCDC83,8250.187740316987,0.2590717189502467,1247.199980222698,413,ENSG00000150676,testis,27.7,0.0,201,A
A8MZG2,C16orf90,3563.083852994442,0.25365987146537017,1247.199980222698,182,ENSG00000215131,testis,27.8,0.0,202,A
Q8N7X8,SIGLECL1,6328.577358826996,0.4004939476242887,4696.039107375132,197,ENSG00000179213,testis,29.7,0.0,203,A
Q86YW0,PLCZ1,7320.392721346016,0.2408159915972909,1247.199980222698,608,ENSG00000139151,testis,29.5,0.0,204,A
Q9NYR8,RDH8,5246.927525874972,0.3293183637653894,1889.931313072292,311,ENSG00000080511,retina,29.4,0.0,205,A
Q8N801,STPG4,4672.94711764753,0.2786111141267581,1656.4306363857788,248,ENSG00000239605,testis,29.4,0.0,206,A
Q9BYQ3,KRTAP9-3,3470.2887529730797,0.3348783365855187,2139.9918975636656,159,ENSG00000204873,skin,29.4,0.0,207,A
Q9C019,TRIM15,7149.879684382677,0.25078014930736714,1247.199980222698,465,ENSG00000204610,small intestine,29.3,0.0,208,A
P01588,EPO,4534.648793840407,0.3620216534417703,2487.7519050599176,193,ENSG00000130427,liver,29.3,0.0,209,A
A0A1B0GVT2,SMIM36,5138.161981043218,0.5198773535026142,4732.5216666666665,93,ENSG00000261873,retina,29.3,0.0,210,A
